DateTime,Vert Accelerometer,Lat Accelerometer,Long Accelerometer
2026-01-07 12:57:00.003000+00:00,-975,-226,16
2026-01-07 12:57:00.007000+00:00,-971,-226,20
2026-01-07 12:57:00.011000+00:00,-975,-218,8
2026-01-07 12:57:00.015000+00:00,-971,-218,20
2026-01-07 12:57:00.019000+00:00,-975,-230,12
2026-01-07 12:57:00.023000+00:00,-975,-226,20
2026-01-07 12:57:00.027000+00:00,-975,-230,8
2026-01-07 12:57:00.031000+00:00,-971,-218,12
2026-01-07 12:57:00.035000+00:00,-967,-230,12
2026-01-07 12:57:00.038000+00:00,-971,-222,20
2026-01-07 12:57:00.042000+00:00,-979,-218,31
2026-01-07 12:57:00.046000+00:00,-979,-226,27
2026-01-07 12:57:00.050000+00:00,-967,-230,23
2026-01-07 12:57:00.054000+00:00,-979,-218,27
2026-01-07 12:57:00.058000+00:00,-979,-211,23
2026-01-07 12:57:00.062000+00:00,-975,-218,39
2026-01-07 12:57:00.066000+00:00,-975,-226,31
2026-01-07 12:57:00.070000+00:00,-979,-234,16
2026-01-07 12:57:00.074000+00:00,-979,-230,35
2026-01-07 12:57:00.078000+00:00,-979,-226,31
2026-01-07 12:57:00.081000+00:00,-983,-230,43
2026-01-07 12:57:00.085000+00:00,-975,-222,27
2026-01-07 12:57:00.089000+00:00,-979,-226,27
2026-01-07 12:57:00.093000+00:00,-979,-230,27
2026-01-07 12:57:00.097000+00:00,-983,-226,23
2026-01-07 12:57:00.101000+00:00,-975,-222,8
2026-01-07 12:57:00.105000+00:00,-983,-215,27
2026-01-07 12:57:00.109000+00:00,-975,-215,12
2026-01-07 12:57:00.113000+00:00,-979,-211,20
2026-01-07 12:57:00.117000+00:00,-979,-226,16
2026-01-07 12:57:00.120000+00:00,-975,-222,23
2026-01-07 12:57:00.124000+00:00,-983,-222,31
2026-01-07 12:57:00.128000+00:00,-979,-211,31
2026-01-07 12:57:00.132000+00:00,-975,-207,31
2026-01-07 12:57:00.136000+00:00,-983,-218,39
2026-01-07 12:57:00.140000+00:00,-975,-215,43
2026-01-07 12:57:00.144000+00:00,-979,-215,47
2026-01-07 12:57:00.148000+00:00,-979,-211,55
2026-01-07 12:57:00.152000+00:00,-983,-226,51
2026-01-07 12:57:00.156000+00:00,-975,-218,39
2026-01-07 12:57:00.160000+00:00,-983,-215,43
2026-01-07 12:57:00.163000+00:00,-983,-218,35
2026-01-07 12:57:00.167000+00:00,-979,-218,51
2026-01-07 12:57:00.171000+00:00,-987,-211,47
2026-01-07 12:57:00.175000+00:00,-967,-222,47
2026-01-07 12:57:00.179000+00:00,-983,-218,47
2026-01-07 12:57:00.183000+00:00,-983,-215,51
2026-01-07 12:57:00.187000+00:00,-983,-226,47
2026-01-07 12:57:00.191000+00:00,-983,-238,47
2026-01-07 12:57:00.195000+00:00,-983,-222,47
2026-01-07 12:57:00.199000+00:00,-983,-218,47
2026-01-07 12:57:00.203000+00:00,-987,-218,51
2026-01-07 12:57:00.206000+00:00,-979,-222,47
2026-01-07 12:57:00.210000+00:00,-983,-218,47
2026-01-07 12:57:00.214000+00:00,-979,-211,47
2026-01-07 12:57:00.218000+00:00,-983,-222,47
2026-01-07 12:57:00.222000+00:00,-975,-211,47
2026-01-07 12:57:00.226000+00:00,-963,-207,31
2026-01-07 12:57:00.230000+00:00,-971,-218,31
2026-01-07 12:57:00.234000+00:00,-975,-215,31
2026-01-07 12:57:00.238000+00:00,-967,-222,35
2026-01-07 12:57:00.242000+00:00,-967,-203,31
2026-01-07 12:57:00.245000+00:00,-971,-218,27
2026-01-07 12:57:00.249000+00:00,-975,-211,20
2026-01-07 12:57:00.253000+00:00,-975,-226,20
2026-01-07 12:57:00.257000+00:00,-963,-222,23
2026-01-07 12:57:00.261000+00:00,-975,-218,23
2026-01-07 12:57:00.265000+00:00,-963,-222,16
2026-01-07 12:57:00.269000+00:00,-967,-226,16
2026-01-07 12:57:00.273000+00:00,-971,-226,8
2026-01-07 12:57:00.277000+00:00,-971,-211,23
2026-01-07 12:57:00.281000+00:00,-975,-207,20
2026-01-07 12:57:00.285000+00:00,-971,-218,16
2026-01-07 12:57:00.288000+00:00,-975,-211,20
2026-01-07 12:57:00.292000+00:00,-983,-222,20
2026-01-07 12:57:00.296000+00:00,-983,-226,16
2026-01-07 12:57:00.300000+00:00,-979,-222,8
2026-01-07 12:57:00.304000+00:00,-971,-230,8
2026-01-07 12:57:00.308000+00:00,-967,-222,8
2026-01-07 12:57:00.312000+00:00,-979,-230,20
2026-01-07 12:57:00.316000+00:00,-979,-226,20
2026-01-07 12:57:00.320000+00:00,-983,-222,20
2026-01-07 12:57:00.324000+00:00,-971,-226,23
2026-01-07 12:57:00.328000+00:00,-979,-230,12
2026-01-07 12:57:00.331000+00:00,-971,-226,16
2026-01-07 12:57:00.335000+00:00,-975,-242,4
2026-01-07 12:57:00.339000+00:00,-975,-230,16
2026-01-07 12:57:00.343000+00:00,-971,-230,8
2026-01-07 12:57:00.347000+00:00,-975,-226,4
2026-01-07 12:57:00.351000+00:00,-979,-211,8
2026-01-07 12:57:00.355000+00:00,-979,-222,4
2026-01-07 12:57:00.359000+00:00,-975,-218,4
2026-01-07 12:57:00.363000+00:00,-983,-230,8
2026-01-07 12:57:00.367000+00:00,-975,-222,8
2026-01-07 12:57:00.370000+00:00,-971,-218,16
2026-01-07 12:57:00.374000+00:00,-979,-226,4
2026-01-07 12:57:00.378000+00:00,-971,-211,8
2026-01-07 12:57:00.382000+00:00,-983,-222,0
2026-01-07 12:57:00.386000+00:00,-979,-218,0
2026-01-07 12:57:00.390000+00:00,-979,-222,8
2026-01-07 12:57:00.394000+00:00,-975,-230,4
2026-01-07 12:57:00.398000+00:00,-971,-218,0
2026-01-07 12:57:00.402000+00:00,-967,-222,0
2026-01-07 12:57:00.406000+00:00,-967,-218,-4
2026-01-07 12:57:00.410000+00:00,-975,-226,4
2026-01-07 12:57:00.413000+00:00,-963,-226,8
2026-01-07 12:57:00.417000+00:00,-967,-226,-4
2026-01-07 12:57:00.421000+00:00,-967,-230,4
2026-01-07 12:57:00.425000+00:00,-971,-226,4
2026-01-07 12:57:00.429000+00:00,-963,-238,0
2026-01-07 12:57:00.433000+00:00,-967,-222,4
2026-01-07 12:57:00.437000+00:00,-967,-222,-4
2026-01-07 12:57:00.441000+00:00,-967,-222,-4
2026-01-07 12:57:00.445000+00:00,-959,-226,0
2026-01-07 12:57:00.449000+00:00,-963,-226,-8
2026-01-07 12:57:00.453000+00:00,-967,-230,0
2026-01-07 12:57:00.456000+00:00,-967,-234,0
2026-01-07 12:57:00.460000+00:00,-971,-234,0
2026-01-07 12:57:00.464000+00:00,-975,-238,16
2026-01-07 12:57:00.468000+00:00,-967,-218,8
2026-01-07 12:57:00.472000+00:00,-971,-218,8
2026-01-07 12:57:00.476000+00:00,-979,-218,4
2026-01-07 12:57:00.480000+00:00,-975,-226,4
2026-01-07 12:57:00.484000+00:00,-975,-226,0
2026-01-07 12:57:00.488000+00:00,-979,-215,20
