DateTime,Vert Accelerometer,Lat Accelerometer,Long Accelerometer
2026-01-07 09:52:45.003000+00:00,-936,-273,-168
2026-01-07 09:52:45.007000+00:00,-932,-261,-176
2026-01-07 09:52:45.011000+00:00,-928,-261,-179
2026-01-07 09:52:45.015000+00:00,-936,-273,-176
2026-01-07 09:52:45.019000+00:00,-936,-265,-168
2026-01-07 09:52:45.023000+00:00,-940,-269,-164
2026-01-07 09:52:45.026000+00:00,-940,-250,-160
2026-01-07 09:52:45.030000+00:00,-936,-261,-176
2026-01-07 09:52:45.034000+00:00,-940,-261,-168
2026-01-07 09:52:45.038000+00:00,-944,-261,-168
2026-01-07 09:52:45.042000+00:00,-940,-257,-164
2026-01-07 09:52:45.046000+00:00,-936,-257,-164
2026-01-07 09:52:45.050000+00:00,-932,-257,-172
2026-01-07 09:52:45.054000+00:00,-948,-257,-168
2026-01-07 09:52:45.058000+00:00,-944,-265,-168
2026-01-07 09:52:45.062000+00:00,-940,-261,-168
2026-01-07 09:52:45.065000+00:00,-936,-261,-172
2026-01-07 09:52:45.069000+00:00,-940,-269,-172
2026-01-07 09:52:45.073000+00:00,-944,-269,-168
2026-01-07 09:52:45.077000+00:00,-936,-254,-176
2026-01-07 09:52:45.081000+00:00,-936,-265,-168
2026-01-07 09:52:45.085000+00:00,-940,-265,-172
2026-01-07 09:52:45.089000+00:00,-948,-261,-164
2026-01-07 09:52:45.093000+00:00,-936,-257,-172
2026-01-07 09:52:45.097000+00:00,-936,-261,-164
2026-01-07 09:52:45.101000+00:00,-944,-257,-168
2026-01-07 09:52:45.105000+00:00,-944,-257,-160
2026-01-07 09:52:45.108000+00:00,-948,-257,-168
2026-01-07 09:52:45.112000+00:00,-944,-269,-176
2026-01-07 09:52:45.116000+00:00,-936,-269,-168
2026-01-07 09:52:45.120000+00:00,-936,-261,-168
2026-01-07 09:52:45.124000+00:00,-940,-257,-168
2026-01-07 09:52:45.128000+00:00,-944,-257,-168
2026-01-07 09:52:45.132000+00:00,-940,-261,-168
2026-01-07 09:52:45.136000+00:00,-936,-261,-164
2026-01-07 09:52:45.140000+00:00,-932,-265,-172
2026-01-07 09:52:45.144000+00:00,-932,-257,-164
2026-01-07 09:52:45.148000+00:00,-948,-257,-164
2026-01-07 09:52:45.151000+00:00,-940,-261,-168
2026-01-07 09:52:45.155000+00:00,-932,-261,-164
2026-01-07 09:52:45.159000+00:00,-936,-257,-168
2026-01-07 09:52:45.163000+00:00,-936,-261,-172
2026-01-07 09:52:45.167000+00:00,-940,-261,-172
2026-01-07 09:52:45.171000+00:00,-932,-261,-164
2026-01-07 09:52:45.175000+00:00,-932,-257,-168
2026-01-07 09:52:45.179000+00:00,-940,-257,-168
2026-01-07 09:52:45.183000+00:00,-936,-257,-164
2026-01-07 09:52:45.187000+00:00,-944,-257,-172
2026-01-07 09:52:45.190000+00:00,-944,-257,-168
2026-01-07 09:52:45.194000+00:00,-936,-257,-168
2026-01-07 09:52:45.198000+00:00,-948,-254,-164
2026-01-07 09:52:45.202000+00:00,-944,-261,-164
2026-01-07 09:52:45.206000+00:00,-940,-257,-164
2026-01-07 09:52:45.210000+00:00,-936,-265,-164
2026-01-07 09:52:45.214000+00:00,-944,-250,-164
2026-01-07 09:52:45.218000+00:00,-944,-254,-168
2026-01-07 09:52:45.222000+00:00,-944,-265,-160
2026-01-07 09:52:45.226000+00:00,-940,-269,-176
2026-01-07 09:52:45.230000+00:00,-936,-265,-172
2026-01-07 09:52:45.233000+00:00,-948,-261,-168
2026-01-07 09:52:45.237000+00:00,-944,-257,-172
2026-01-07 09:52:45.241000+00:00,-940,-261,-156
2026-01-07 09:52:45.245000+00:00,-936,-265,-164
2026-01-07 09:52:45.249000+00:00,-936,-261,-172
2026-01-07 09:52:45.253000+00:00,-940,-261,-160
2026-01-07 09:52:45.257000+00:00,-940,-250,-156
2026-01-07 09:52:45.261000+00:00,-944,-261,-176
2026-01-07 09:52:45.265000+00:00,-932,-254,-176
2026-01-07 09:52:45.269000+00:00,-940,-257,-176
2026-01-07 09:52:45.273000+00:00,-948,-257,-164
2026-01-07 09:52:45.276000+00:00,-944,-261,-164
2026-01-07 09:52:45.280000+00:00,-948,-254,-164
2026-01-07 09:52:45.284000+00:00,-944,-265,-172
